,Id,City,Latitude,Longitude,Temperature(Max(F)),Humidity,Cloudiness,Wind Speed(mph)
422,142554,Hashtrud,37.48,47.05,57.92,51,0,4.76
423,1261672,Nautanwa,27.43,83.42,72.36,97,92,3.65
424,3108412,Tafalla,42.53,-1.67,72.9,68,40,13.87
425,3420768,Qasigiannguit,68.82,-51.19,44.6,70,75,3.36
426,1217662,Romitan,39.93,64.38,73.4,28,0,11.41
427,7626384,Hovd,63.83,10.7,54.46,76,75,20.8
428,2027296,Aykhal,65.95,111.51,54.36,94,0,9.24
429,6050066,La Ronge,55.1,-105.3,59.0,77,90,10.29
430,338554,Dubti,11.74,41.09,74.57,71,92,5.66
431,5476913,Los Lunas,34.81,-106.76,79.27,21,1,5.82
432,1058532,Moramanga,-18.95,48.23,55.54,100,76,2.75
433,2122605,Okhotsk,59.36,143.24,53.91,100,88,4.76
434,5563397,Eureka,40.8,-124.16,61.72,87,90,8.05
435,3478424,Pontal do Parana,-25.67,-48.51,67.1,56,0,9.17
436,4342816,Sulphur,30.24,-93.38,91.4,59,1,11.41
437,2077895,Alice Springs,-23.7,133.88,37.4,64,0,7.78
438,2630299,Hofn,64.25,-15.21,49.41,98,100,1.63
439,3393106,Paragominas,-3.0,-47.35,92.63,51,8,8.77
440,2517679,Fortuna,38.18,-1.13,83.21,83,20,4.7
441,4407665,Kodiak,39.95,-94.76,91.4,38,1,9.17
442,3520994,Puerto Escondido,15.86,-97.07,86.0,66,75,11.41
443,352733,Marsa Matruh,31.35,27.25,82.4,74,0,5.82
444,138025,Damghan,36.17,54.34,73.98,56,0,5.21
445,615460,Pitsunda,43.16,40.34,68.0,88,75,8.95
446,3646382,Carupano,10.67,-63.26,80.19,90,56,11.36
447,712587,Novikovo,45.05,34.56,58.64,100,0,2.42
448,1500532,Posevnaya,54.3,83.33,53.65,82,0,7.34
449,1328421,Pathein,16.78,94.73,77.27,96,92,13.82
450,3657661,Gualaquiza,-3.4,-78.58,68.22,73,92,2.19
451,2394819,Cotonou,6.37,2.43,77.0,94,40,13.87
452,1635111,Puri,-7.54,112.45,66.6,92,12,4.76
453,1803841,Lianzhou,24.79,112.38,71.87,92,0,2.19
454,1504380,Kargat,55.19,80.28,53.46,87,76,2.75
455,2281120,Tabou,4.42,-7.36,77.85,100,88,12.03
456,3421765,Nanortalik,60.14,-45.24,45.45,94,92,8.23
457,575410,Boksitogorsk,59.47,33.85,55.44,98,92,9.8
458,3339539,Carlsbad,50.23,12.87,69.31,42,0,2.24
459,2654970,Brae,60.4,-1.35,54.61,71,92,8.05
460,5969785,Hamilton,43.26,-79.87,80.6,44,40,8.05
461,5954718,Flin Flon,54.77,-101.88,60.8,63,90,10.29
462,3380290,Sinnamary,5.38,-52.96,82.81,92,0,14.38
463,2027044,Batagay,67.65,134.64,57.06,83,0,2.75
464,1259784,Phek,25.7,94.46,70.34,99,88,1.97
465,556268,Ostrovnoy,68.05,39.51,55.22,80,64,3.2
466,5905393,Bonavista,48.65,-53.11,65.8,75,36,7.67
467,4167694,Panama City,30.16,-85.65,91.47,66,20,10.29
468,7872581,Landeck,47.14,10.57,71.49,77,75,5.82
469,950709,Swellendam,-34.02,20.44,53.6,87,92,4.7
470,6113406,Prince Rupert,54.32,-130.32,62.6,77,1,4.7
471,1258289,Rayagada,19.17,83.42,71.82,95,64,3.31
472,210379,Lusambo,-4.97,23.44,77.76,58,20,2.42
473,2656847,Atherton,53.52,-2.49,64.38,77,88,2.24
474,1310120,Mawlaik,23.63,94.42,72.05,100,92,2.3
475,5440838,Superior,39.95,-105.17,84.38,24,20,3.36
476,2905560,Herten,51.59,7.14,74.95,37,0,4.7
477,1490003,Tatarsk,55.22,75.96,51.21,91,0,10.69
478,2092164,Lorengau,-2.02,147.27,82.71,100,36,6.78
479,3879200,Mulchen,-37.72,-72.23,53.6,81,75,3.36
480,3037899,Ambon,47.55,-2.56,66.2,93,90,8.05
481,1791636,Weinan,34.5,109.46,78.8,78,0,4.47
482,3181259,Cairo Montenotte,44.4,8.27,78.01,69,20,3.36
483,1510377,Belyy Yar,53.6,91.39,59.0,93,0,2.98
484,3172402,Nago,45.88,10.89,69.21,93,20,5.82
485,3526662,Teya,21.05,-89.07,93.2,44,75,11.41
486,217695,Bunia,1.56,30.25,64.44,90,44,2.64
487,610091,Chingirlau,51.09,54.08,73.49,50,76,8.23
488,533690,Luga,58.74,29.85,55.71,99,92,11.81
489,6062563,Macamic,48.75,-79.0,82.4,45,20,8.05
490,4036284,Alofi,-19.06,-169.92,71.6,94,12,3.36
491,1706044,Lipay,15.46,119.92,74.16,100,92,10.47
492,3374210,Sao Filipe,14.9,-24.5,76.23,100,24,11.25
493,1582436,Dong Xoai,11.53,106.92,71.65,99,100,5.21
494,159134,Inyonga,-6.72,32.06,63.77,42,0,6.78
495,1265954,Kotra,25.81,79.31,79.02,89,44,7.11
496,6166142,Thunder Bay,48.41,-89.26,82.4,61,5,9.17
497,964406,Port Shepstone,-30.74,30.45,61.56,76,0,7.78
498,5850554,Makakilo City,21.35,-158.09,83.59,62,1,5.82
499,4117436,Killin,33.61,-91.74,89.6,55,1,3.36
500,3439749,Trinidad,-33.52,-56.9,64.9,61,0,7.67
501,125188,Mahdasht,35.73,50.81,89.49,22,0,4.7
502,2140558,Koumac,-20.56,164.28,67.6,94,80,3.53
503,2027968,Aldan,58.61,125.39,45.14,90,0,2.3
504,1268814,Joshimath,30.57,79.57,37.04,100,92,1.41
505,1496503,Noyabrsk,63.2,75.45,49.6,74,64,6.67
506,3570392,Le Vauclin,14.55,-60.84,86.79,58,20,17.22
507,1523741,Esik,43.36,77.47,64.4,72,75,4.47
508,146639,Lasa,34.92,32.53,82.4,69,0,9.17
509,2450173,Taoudenni,22.68,-3.98,91.81,42,20,5.66
510,296852,Erzin,36.95,36.2,81.48,51,0,10.29
511,525426,Sobolevo,54.43,31.9,57.87,70,12,10.8
512,3517970,Pochutla,15.74,-96.47,86.0,66,75,11.41
513,2184707,Wanaka,-44.7,169.14,45.36,66,56,6.22
514,1056899,Sambava,-14.27,50.17,72.64,100,92,22.66
515,5380437,Pacific Grove,36.62,-121.92,70.39,72,1,10.29
516,2161515,Kiama,-34.67,150.86,48.2,71,0,17.22
517,1816440,Bengbu,32.92,117.38,80.37,93,92,14.27
518,1226260,Trincomalee,8.58,81.23,80.19,75,68,19.98
519,933734,Gweta,-20.21,25.26,63.32,44,0,6.44
520,5211303,Scranton,41.41,-75.66,74.46,83,90,5.82
521,2071059,Gawler,-34.6,138.75,51.8,87,75,8.05
522,2249901,Gat,14.69,-16.54,89.6,52,75,4.7
523,3119841,Cabanas,43.42,-8.16,64.4,82,20,10.29
524,2037485,Erenhot,43.65,111.97,58.86,96,36,10.8
525,779683,Hammerfest,70.66,23.68,48.49,100,90,11.41
526,734880,Mani,41.41,26.4,69.62,54,0,8.12
527,5276609,Two Rivers,44.15,-87.57,82.58,61,1,5.82
528,6182212,Williams Lake,52.13,-122.14,55.4,66,90,5.82
529,4004293,Ixtapa,20.71,-105.21,89.6,66,75,8.05
530,2167426,Emerald,-23.53,148.16,43.97,43,0,11.92
531,3841490,Pergamino,-33.9,-60.57,66.29,56,0,8.46
532,1540711,Muravlenko,63.79,74.5,48.29,78,44,7.45
533,2514073,Martos,37.72,-3.97,86.0,33,20,9.17
534,6620339,Karratha,-20.74,116.85,55.54,23,0,15.73
535,515873,Oktyabrskiy,55.61,37.97,66.18,52,0,8.95
536,1642773,Japura,-0.42,102.29,78.48,76,12,3.09
537,2017658,Preobrazheniye,42.9,133.91,66.25,97,88,1.41
538,124291,Mehran,33.12,46.17,78.8,24,0,6.93
539,3981362,Tonila,19.41,-103.55,84.2,58,75,6.93
540,1571058,Phan Thiet,10.93,108.1,77.05,100,92,16.84
541,64814,Bandarbeyla,9.49,50.81,78.48,89,0,32.61
542,2015842,Mikhaylovka,52.96,103.29,60.44,82,0,6.22
543,1505998,Idrinskoye,54.37,92.14,55.35,100,92,3.42
544,1643837,Gorontalo,0.54,123.06,75.74,86,64,4.54
545,5710035,West Wendover,40.74,-114.07,93.2,14,1,11.41
546,1486321,Yar-Sale,66.83,70.83,48.7,100,68,12.71
547,1584071,Da Lat,11.95,108.44,68.68,88,68,9.24
548,909488,Lukulu,-14.38,23.24,63.14,32,0,9.24
549,3355672,Luderitz,-26.65,15.16,51.12,92,0,12.48
550,2018735,Nyurba,63.29,118.35,55.67,97,0,4.65
551,286621,Salalah,17.01,54.1,77.0,94,20,2.24
552,783493,Trojes,41.76,19.96,77.0,78,0,2.24
553,125446,Mahabad,36.77,45.72,54.59,60,0,2.75
554,2986626,Plouzane,48.38,-4.62,62.98,88,90,11.41
555,741304,Niksar,40.59,36.95,54.77,94,56,1.63
556,5606187,Saint Anthony,43.97,-111.68,80.6,30,1,14.99
557,1626542,Sorong,-0.86,131.25,79.3,100,76,11.59
558,1337619,Ugoofaaru,5.67,73.0,84.33,95,88,17.07
559,779554,Honningsvag,70.98,25.97,48.47,100,92,11.03
560,2129211,Towada,40.61,141.21,66.25,88,24,3.2
561,522260,Nikel,69.41,30.21,50.0,100,75,14.99
562,3354077,Opuwo,-18.06,13.84,59.09,63,8,0.96
563,1217734,Boysun,38.2,67.2,51.62,82,0,1.63
564,1244926,Hambantota,6.12,81.12,77.94,99,92,15.84
565,583472,Alakurtti,66.96,30.34,55.71,63,92,2.42
566,3567995,Bahia Honda,22.9,-83.16,85.19,81,12,3.98
